Equipment Category,Measure ID,Site ID,Single and Multifamily Occupant (SMO) Telephone or Web Survey ID,Climate Zone,Region,County,Single Family or Multifamily,Construction Type,Year Building Built,Survey Weight,Appliance Category,Type/Style of Appliance,Other Large Appliances,Number of appliance units,Location of Appliance Unit,Appliance Manufacture Year,Age of Unit Known or Estimated,Appliance Unit Manufacturer,Appliance Model Number,Appliance Fuel,Appliance Wattage,Appliance Energy Star Certified?,Computer Monitor Type,Dishwasher Efficiency Rating (Energy Factor),Dishwasher Usage Pattern (cycles/week),Fan Usage,Humidifier Usage,Washing Machine Temperature,Loads Per Week,Heated Pool /Hot Tub,Pool/Hot Tub Above Ground or In Ground,Pool/Hot Tub High Efficiency Pump,Pool/Hot Tub Pump Horsepower,Pool/Hot Tub Pump Speeds,Size of Refrigerator or Freezer (cu ft),Refrigerator With Indoor Water Dispenser,Television Screen Size (inches),Type of conditioned air being distributed by the duct system,Air duct leakage to the outside ,Total air duct interior and exterior leakage,Does the new construction home contain an air duct system?,Pressurization or Depressurization,Type of Building Served by DHW,DHW Type,DHW Fuel Type,No. of Water Heaters,DHW Manufacture Year,DHW Age,DHW Age Known or Estimated,DHW Unit Manufacturer,DHW Model Number,Unit Energy Factor,DHW Efficiency Data Source,Water Temperature Setting,DHW Venting,DHW Unit Heat Recovery,Efficiency Rating of DHW Heat Recovery,Presence of orphan natural draft DHW,Storage Volume of the Unit (Gallons),Thickness of DHW pipe insulation (inches),DHW Insulation Thickness (inches),Unit in Conditioned or Unconditioned Part of House,HVAC System Type,HVAC Fuel type,DHW Solar System presence,Type of Solar DHW System,Type of Solar Technology used for DHW,Solar DHW System Capacity (Gallons),Source for Solar DHW Capacity,Solar DHW System in Working Order?,Surface Type,Construction Material of Building Envelope,Depth Below Grade,Ceiling Type,Attic Access Insulation Level,Attic Access (sq. ft.),Attic Access Weather Stripping,Percent of total exterior and interior surfaces that are insulated,Exterior or continuous insulation type,Data source for the on-site inspector determining exterior or continuous insulation characteristics,Exterior or continuous insulation quality (grade I-III),Exterior or continuous insulation thickness (inches),Interior or cavity insulation type,Data source for the on-site inspector determining interior or cavity insulation characteristics,Interior or cavity insulation quality (grade I-III),Interior or cavity insulation thickness (inches),Does the home have perimeter insulation?,Window or Door,Number of Doors,Door Material,Door Weather Stripping,Number of Windows,Window Size,Overall Window Condition,U Factor,Window Frame Type,Window Glazing,Gas Filled Window,Bay Windows,Storm Windows,Window Treatments,HVAC Controls Thermostat Type,HVAC Systems Served,Cooling Setback Hours,Cooling Setback Temperature,Set Point Temperature for Cooling Season,Heating Setback Hours,Heating Setback Temperature,Set Point Temperature for Heating Season,Status of Thermostat at Time of Inspection,Are HVAC Controlled Thermostats Programmable?,What Unit Does the HVAC Cooling System Serve?,What Percentage of Conditioned Space Does the HVAC Cooling Unit Serve?,Is HVAC Cooling Primary or Secondary Source?,HVAC Cooling System Type,HVAC Cooling Manufacture Year,HVAC Cooling Age Known/Estimated,HVAC Cooling Manufacturer,HVAC Cooling Model Number,HVAC Cooling Capacity,Number of AC Units,Rated Efficiency of HVAC Cooling System,HVAC Cooling Efficiency Type,HVAC Cooling Efficiency Data Source,Is HVAC Cooling Energy Star?,Visual Condition of Cooling System,HVAC Cooling Filter Slot Cover,Condition of Furnace Air Filter,Location of Cooling System,When was HVAC Cooling System Last Serviced?,What Unit Does the HVAC Heating System Serve?,What Percentage of Conditioned Space Does the HVAC Heating Unit Serve?,Is HVAC Heating Primary or Secondary Source?,HVAC Heating System Type,HVAC Heating Year Manufactured,HVAC Heating Year Known or Estimated,HVAC Heating Manufacturer,HVAC Heating Model Number,HVAC Heating Capacity,HVAC Heating Fuel Type,Number of HVAC Heating Systems,Rated Efficiency of Heating System,HVAC Heating Efficiency Type,HVAC Heating Efficiency Data Source,Is HVAC Heating Energy Star?,Visual Condition of Heating System,Is There An HVAC Heating Filter Slot Cover?,Condition of HVAC Heating Furnace Air Filter,Electronically Commutated Motor Present,Location of HVAC Heating,Does the HVAC Heating System Have an Outdoor Reset?,Does the HVAC Heating System have Thermostatic Radiator valves?,Heating Ventilation Type,When was HVAC Heating System Last Serviced?,HVAC Ventilation Type,HVAC Ventilation Space Served,Number of HVAC Ventilation Operating Hours Per Day,HVAC Ventilation System Configuration,Number of Lighting Controls,Type of Lighting Controls,Number of Efficient Light Bulbs,Number of Halogen Light Bulbs,Number of Incandescent Light Bulbs,Number of Other Light Bulbs,Type of Other Light Bulbs,Number of T12 Light Bulbs,Location of Lighting Unit,Number of Plug Loads,Description of Plug Loads,Number of Cable Boxes Plugged into Smart Strips or Outlets ,Number of DVD Players Plugged into Smart Strips or Outlets,Number of Fax Machines Plugged into Smart Strips or Outlets,Number of Gaming Consoles Plugged into Smart Strips or Outlets,Number of Home Theater Systems Plugged into Smart Strips or Outlets,Number of Printers and Copiers Plugged into Smart Strips or Outlets,Number of Space Heaters Plugged into Smart Strips or Outlets,Number of Stereo Systems Plugged into Smart Strips or Outlets,Number of VCR's Plugged into Smart Strips or Outlets,"Number of Tier 1 Plug Loads, Smart Strips and Outlets","Number of Tier 2 Plug Loads, Smart Strips and Outlets"
Air Duct Testing,C1C81DBF-E9F3-4039-B2BF-D0AB369C6196,005417B0-1779-42B2-BD6F-B8E31FB1B3FD,NC60620,Climate Zone 6,North Country,Jefferson,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating,Not Accessible,Not Accessible,Yes,Not able to conduct test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,2C2A9576-A91D-4025-B352-5BF50EF1ADFA,053062D1-CAB6-463C-8438-F46E9B71896B,MH64528,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,21,544,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,D9660C5D-E34D-4210-8050-3D6E7FFF2E89,075FA95E-F2F4-40D7-AF43-28C0BF9DA113,CN60196,Climate Zone 6,Central New York,Madison,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating,Not Accessible,Not Accessible,Yes,Not able to conduct test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,09955FD5-25ED-412F-B39B-3E5D9FC3E477,0E116704-95A1-4A65-8317-A3DF298FCAF5,MV60256,Climate Zone 6,Mohawk Valley,Fulton,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,15,236,Yes,Depressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,E60D2C95-3E2C-4CBB-9650-69CA7A28A013,10631C65-71F0-446D-9DF7-A4C5459EDF5B,CN60288,Climate Zone 6,Central New York,Madison,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,DC7DA8FD-B40D-478C-A941-E82085DA1AC0,22D734A5-0262-4D1A-BED0-5A6C88BBD90D,MV60392,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,42124059-2C18-4F89-967E-2DCC26B33185,293A98A8-7E8E-4531-814A-DDBEE7029502,MV60428,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,E5478AF6-5EF9-47DB-B8DB-B27831B38744,2B97C0EF-A859-4D1D-A6EC-008AAEC01272,NC61096,Climate Zone 6,North Country,Jefferson,SF,New,2014,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,58CA79B7-C5EC-4ABE-8CDE-1F2566208436,2DBB307F-4FF9-4959-88A4-3A8332BAE382,MV61148,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,54,1376,Yes,Depressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,D9075E78-8187-45A3-9132-178A28FFB9A1,3329642D-5D2C-4BEC-8B54-B599DB32A4EB,MH63904,Climate Zone 6,Mid-Hudson,Sullivan,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling,23,432,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,A78C67B4-7524-4956-BB0C-7C311607227B,364A86CD-D6B5-493C-B775-66B25B37563A,MV60708,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,872C9E1B-4BE6-4478-99CF-AD80525A426D,3D181C63-22B7-437A-9992-DD07AE3AFAE4,CN60172,Climate Zone 6,Central New York,Madison,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,310,960,Yes,Depressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,02DEECD0-6F16-432E-A106-6967C34CBF56,442F3DCA-118B-4DE1-81DD-74C1C4858BE6,MH64132,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,247,1013,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,24BFD1FE-70AD-4148-9964-3AF8F7A1A8E0,472E5ECD-BA8D-4109-B063-3F39839A7B9A,NC62268,Climate Zone 6,North Country,St. Lawrence,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,712,1267,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,55C58AF4-81B9-4BEB-BED2-4BD26BF2A464,4B1DCF98-F7BC-4BA7-95B7-38C32AC55F58,MH64636,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling,166,Not Accessible,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,8CD4EECC-66D5-41FA-B6DD-798C85C57100,4D66A840-E301-485B-9869-ED8FBF20C2CA,MH64332,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,21,76,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,5F10DFE2-86FA-4F63-A963-8EEC9FBA8304,53E4C8A9-5563-4AEE-96B3-C0389E36157D,MH64272,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,50,173,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,325D22E2-A3CA-4D8B-BDBC-A3E1166AE3EF,5516F169-7DF4-4425-ADB9-7EBAEA4EF43F,NC62188,Climate Zone 6,North Country,St. Lawrence,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,0,346,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,5D6B3AC3-B7D7-44F6-94E8-08C5E5404482,5CC76E28-5225-4E5C-80EA-5F920BDCB389,NC61912,Climate Zone 6,North Country,Lewis,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,808B849B-64F2-4FE4-9DE9-A3552B229AB4,631BB8BC-1ACC-4FE9-B05A-DC38EE35299E,CN60436,Climate Zone 6,Central New York,Madison,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,11,135,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,60DE14A7-EEF1-49BF-B1C9-CAADCE0F2405,673620C5-DDCC-4284-B66D-B94942F5873C,MV61076,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,5850166A-1437-4FBE-A8E4-E9028A762BC3,72551465-D059-4AEB-A7DD-A6F4A4993DBB,MV61072,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,68DEABEB-CF04-4EE0-9748-3C23903A9832,7B3DA4BC-5A02-4018-9BB8-9B66D48FC502,NC60104,Climate Zone 6,North Country,Essex,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,B9CD5A12-E46D-444A-9006-964A4F54D924,8127A127-BB78-44B5-B8CE-6E215DBFB89A,MH64200,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,B30C091A-CEE7-4D4B-AD4B-6C9028298F43,9805FFA4-AFAF-490E-857A-AE09B7AA01CF,CN60420,Climate Zone 6,Central New York,Madison,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,0,239,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,622C4399-DE68-4148-95C3-CE9C55327E74,9D1F4A8C-D588-4AC1-B151-9306E29ED50E,FL64660,Climate Zone 6,Finger Lakes,Wyoming,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,91DCD2D8-C5AF-427B-A921-CF6F81B46125,AE52944F-ED48-4F4D-BF9B-6B146691B473,MV61012,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,3AF03236-641F-44DB-88CF-1304CD892F84,BB19C900-AD91-45A2-81D4-789EF8B66476,NC61764,Climate Zone 6,North Country,Lewis,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,E8D6D20F-0761-4C47-890D-7274BBB6531E,BDCF933A-EFE0-4ED7-B62F-E1178A55604E,NC62696,Climate Zone 6,North Country,Clinton,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,466D662F-F843-4FDE-ABFE-971045C63BC1,C258AB9E-DEED-40E8-942C-4765B199C175,NC60716,Climate Zone 6,North Country,Jefferson,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating,0,201,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,F973E204-D3C8-4D1F-A23C-32FF58A26A2F,C5038FD2-3085-48C7-8D2B-D375C7782C1A,MV61004,Climate Zone 6,Mohawk Valley,Oneida,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling,31,548,Yes,Depressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,1E4C9751-BFEE-4B4E-92F4-CB029F748D8A,CE047DFC-597F-4C75-91E1-4CCAB8B63491,MV60568,Climate Zone 6,Mohawk Valley,Montgomery,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,137,618,Yes,Depressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,678C5923-BD7D-4C7D-8897-EEF02609BC93,CF5318C0-4F7E-4479-8C8A-15DD90AB0F08,NC62348,Climate Zone 6,North Country,St. Lawrence,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,Not Accessible,Not Accessible,Yes,Not able to conduct test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,5168E43E-8FF6-4F5E-83CA-783A85003418,D3A3FA8C-9D66-4B51-A9EB-7575F2A75793,MH64496,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,0,112,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,CB8AC21F-4F87-4F20-AE27-B4DFFC438B3C,D3A3FA8C-9D66-4B51-A9EB-7575F2A75793,MH64496,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating/Cooling,0,81,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,C59D4564-AB2A-40D2-912F-899265EFC8D1,D446355D-4B62-4D2A-98C6-73FA31ED9085,MH64780,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling,0,136,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,771D9DDE-39B4-4694-B850-307193B306BA,D446355D-4B62-4D2A-98C6-73FA31ED9085,MH64780,Climate Zone 6,Mid-Hudson,Ulster,SF,New,2012,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooling,0,112,Yes,Pressurization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,1101B23E-3BCB-47CD-BB6A-F2B937455B4E,DF538282-97CB-4DDF-A450-A9B7B11EA63D,CN60300,Climate Zone 6,Central New York,Madison,SF,New,2013,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Distribution System Present,Not Applicable,Not Applicable,Yes,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
