Equipment Category,Measure ID,Site ID,Single and Multifamily Occupant (SMO) Telephone or Web Survey ID,Climate Zone,Region,County,Single Family or Multifamily,Construction Type,Year Building Built,Survey Weight,Appliance Category,Type/Style of Appliance,Other Large Appliances,Number of appliance units,Location of Appliance Unit,Appliance Manufacture Year,Age of Unit Known or Estimated,Appliance Unit Manufacturer,Appliance Model Number,Appliance Fuel,Appliance Wattage,Appliance Energy Star Certified?,Computer Monitor Type,Dishwasher Efficiency Rating (Energy Factor),Dishwasher Usage Pattern (cycles/week),Fan Usage,Humidifier Usage,Washing Machine Temperature,Loads Per Week,Heated Pool /Hot Tub,Pool/Hot Tub Above Ground or In Ground,Pool/Hot Tub High Efficiency Pump,Pool/Hot Tub Pump Horsepower,Pool/Hot Tub Pump Speeds,Size of Refrigerator or Freezer (cu ft),Refrigerator With Indoor Water Dispenser,Television Screen Size (inches),Type of conditioned air being distributed by the duct system,Air duct leakage to the outside ,Total air duct interior and exterior leakage,Does the new construction home contain an air duct system?,Pressurization or Depressurization,Type of Building Served by DHW,DHW Type,DHW Fuel Type,No. of Water Heaters,DHW Manufacture Year,DHW Age,DHW Age Known or Estimated,DHW Unit Manufacturer,DHW Model Number,Unit Energy Factor,DHW Efficiency Data Source,Water Temperature Setting,DHW Venting,DHW Unit Heat Recovery,Efficiency Rating of DHW Heat Recovery,Presence of orphan natural draft DHW,Storage Volume of the Unit (Gallons),Thickness of DHW pipe insulation (inches),DHW Insulation Thickness (inches),Unit in Conditioned or Unconditioned Part of House,HVAC System Type,HVAC Fuel type,DHW Solar System presence,Type of Solar DHW System,Type of Solar Technology used for DHW,Solar DHW System Capacity (Gallons),Source for Solar DHW Capacity,Solar DHW System in Working Order?,Surface Type,Construction Material of Building Envelope,Depth Below Grade,Ceiling Type,Attic Access Insulation Level,Attic Access (sq. ft.),Attic Access Weather Stripping,Percent of total exterior and interior surfaces that are insulated,Exterior or continuous insulation type,Data source for the on-site inspector determining exterior or continuous insulation characteristics,Exterior or continuous insulation quality (grade I-III),Exterior or continuous insulation thickness (inches),Interior or cavity insulation type,Data source for the on-site inspector determining interior or cavity insulation characteristics,Interior or cavity insulation quality (grade I-III),Interior or cavity insulation thickness (inches),Does the home have perimeter insulation?,Window or Door,Number of Doors,Door Material,Door Weather Stripping,Number of Windows,Window Size,Overall Window Condition,U Factor,Window Frame Type,Window Glazing,Gas Filled Window,Bay Windows,Storm Windows,Window Treatments,HVAC Controls Thermostat Type,HVAC Systems Served,Cooling Setback Hours,Cooling Setback Temperature,Set Point Temperature for Cooling Season,Heating Setback Hours,Heating Setback Temperature,Set Point Temperature for Heating Season,Status of Thermostat at Time of Inspection,Are HVAC Controlled Thermostats Programmable?,What Unit Does the HVAC Cooling System Serve?,What Percentage of Conditioned Space Does the HVAC Cooling Unit Serve?,Is HVAC Cooling Primary or Secondary Source?,HVAC Cooling System Type,HVAC Cooling Manufacture Year,HVAC Cooling Age Known/Estimated,HVAC Cooling Manufacturer,HVAC Cooling Model Number,HVAC Cooling Capacity,Number of AC Units,Rated Efficiency of HVAC Cooling System,HVAC Cooling Efficiency Type,HVAC Cooling Efficiency Data Source,Is HVAC Cooling Energy Star?,Visual Condition of Cooling System,HVAC Cooling Filter Slot Cover,Condition of Furnace Air Filter,Location of Cooling System,When was HVAC Cooling System Last Serviced?,What Unit Does the HVAC Heating System Serve?,What Percentage of Conditioned Space Does the HVAC Heating Unit Serve?,Is HVAC Heating Primary or Secondary Source?,HVAC Heating System Type,HVAC Heating Year Manufactured,HVAC Heating Year Known or Estimated,HVAC Heating Manufacturer,HVAC Heating Model Number,HVAC Heating Capacity,HVAC Heating Fuel Type,Number of HVAC Heating Systems,Rated Efficiency of Heating System,HVAC Heating Efficiency Type,HVAC Heating Efficiency Data Source,Is HVAC Heating Energy Star?,Visual Condition of Heating System,Is There An HVAC Heating Filter Slot Cover?,Condition of HVAC Heating Furnace Air Filter,Electronically Commutated Motor Present,Location of HVAC Heating,Does the HVAC Heating System Have an Outdoor Reset?,Does the HVAC Heating System have Thermostatic Radiator valves?,Heating Ventilation Type,When was HVAC Heating System Last Serviced?,HVAC Ventilation Type,HVAC Ventilation Space Served,Number of HVAC Ventilation Operating Hours Per Day,HVAC Ventilation System Configuration,Number of Lighting Controls,Type of Lighting Controls,Number of Efficient Light Bulbs,Number of Halogen Light Bulbs,Number of Incandescent Light Bulbs,Number of Other Light Bulbs,Type of Other Light Bulbs,Number of T12 Light Bulbs,Location of Lighting Unit,Number of Plug Loads,Description of Plug Loads,Number of Cable Boxes Plugged into Smart Strips or Outlets ,Number of DVD Players Plugged into Smart Strips or Outlets,Number of Fax Machines Plugged into Smart Strips or Outlets,Number of Gaming Consoles Plugged into Smart Strips or Outlets,Number of Home Theater Systems Plugged into Smart Strips or Outlets,Number of Printers and Copiers Plugged into Smart Strips or Outlets,Number of Space Heaters Plugged into Smart Strips or Outlets,Number of Stereo Systems Plugged into Smart Strips or Outlets,Number of VCR's Plugged into Smart Strips or Outlets,"Number of Tier 1 Plug Loads, Smart Strips and Outlets","Number of Tier 2 Plug Loads, Smart Strips and Outlets"
Air Duct Testing,7BA221F5-2C2B-4A50-B707-229A78961762,2453B7F6-C27D-48CD-9DC4-1588BB6653D9,NY91075,Climate Zone 4,New York City,Bronx,SF,Existing,1940,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,994F0AB6-81A6-42CA-9544-F00B8093DA97,24552405-66AA-453E-BADC-580B3EE4F02A,LI44325,Climate Zone 4,Long Island,Nassau,SF,Existing,1954,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,7BD19865-9269-46E1-A102-3D4179C94836,27CEA2D4-B43F-42C0-9375-5FC099A4682E,NY94931,Climate Zone 4,New York City,Queens,SF,Existing,1950,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,9C147F9A-6C18-4630-9666-85EEE909113E,2B560F0A-0363-4D1B-B0BF-96E7386B076A,LI40721,Climate Zone 4,Long Island,Nassau,SF,Existing,1951,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,33B62597-8E0B-4BC5-9367-018F267363D4,2B5B1808-59A7-46F1-9657-2262B0A9DE55,LI14637,Climate Zone 4,Long Island,Nassau,SF,Existing,1997,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,1BB18619-EC02-4AD3-9E57-B92838E9D8E8,2F6B8B28-4C44-469B-A5DB-EF8A3AC35019,NY29513,Climate Zone 4,New York City,New York,SF,Existing,1882,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Accessible,Not Accessible,Not Accessible,Not Applicable,Not Accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,EECBF032-8F6C-41AE-AC8E-DFCB2E39B0E8,301CF4FD-A4D7-4DAE-A4C1-ABF2B0F907E7,LI52176,Climate Zone 4,Long Island,Suffolk,SF,Existing,1930,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,162EB88E-1AB5-41AF-9B5B-070939276ACD,314E1611-201B-4D80-88F5-5EE9B6A00288,NY10886,Climate Zone 4,New York City,Bronx,SF,Existing,1990,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Controls,BBD37C55-B3C7-4FCA-B021-3AA9F1D664BE,E2F4CBA3-F6A7-4A49-8FAB-F08FD5061CB5,CD22372,Climate Zone 5,Capital District,Saratoga,SF,Existing,1987,8404.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital,All Systems,<1,73.0,73.0,8.0,62.0,68.0,Auto,Programmable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,8D013279-6491-4CFA-9942-14E3407148B3,32B6608C-126C-4866-AE8E-87516FC4E0DD,NY92417,Climate Zone 4,New York City,Kings,SF,Existing,1930,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,D7B8542D-F56C-4BB2-A9E7-BB190F965992,33239C20-5074-423E-9CB1-EA41C616A064,NY94418,Climate Zone 4,New York City,Bronx,SF,Existing,1950,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,401B6CD4-3D65-470D-A4FF-9D637B8600AF,36343E11-5945-4C0D-8882-9F2E2896F3AA,NY20970,Climate Zone 4,New York City,Kings,SF,Existing,1895,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Asked,Not Asked,Not Asked,Not Applicable,Not Asked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,61E3F6CA-E256-475C-A909-800D51CDEBAF,3663D2F2-EB37-4E0C-A9D9-1E29FD5A7D96,LI52678,Climate Zone 4,Long Island,Suffolk,SF,Existing,2007,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,ABBD6251-0FFA-40D6-952B-B44F80E640BC,38C7F5B0-6C4B-4D6E-B1A4-F9FC0768C92C,NY99300,Climate Zone 4,New York City,Kings,SF,Existing,1907,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,27DA8536-7F16-4E19-AAE1-51F93E1ECED3,3934E323-34DE-4AE9-9A82-EE314B5C85D8,LI11448,Climate Zone 4,Long Island,Suffolk,SF,Existing,1957,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,4335DC11-5011-469B-8FB8-445B02EDE08D,396679C0-9C7F-4DD9-840E-5FBE8B6B204D,LI35103,Climate Zone 4,Long Island,Suffolk,SF,Existing,1961,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Duct Testing,7C046AE5-EA03-4418-AC36-4EF8CC1B6251,3CA9DFC7-A7CD-4E7F-AE24-51F372619440,LI55771,Climate Zone 4,Long Island,Suffolk,SF,Existing,1985,18797.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
