"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"198","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4",30381,34997,"Operational Manager",2,"Operational Delivery"
"199","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4",30381,34997,"Policy Adviser",1.7,"Policy"
"200","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4",30381,34997,"Project Manager",1,"Procurement"
"201","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4",30381,34997,"Statistician",1,"Statisticians"
"202","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB5",22883,27092,"Administration Manager",7.39,"Operational Delivery"
"203","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB5",22883,27092,"Communications Manager",1,"Communications"
"204","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB5",22883,27092,"IT Manager",1,"Information Technology"
"205","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB5",22883,27092,"Mapping Officer",11,"Operational Delivery"
"206","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB6a",20323,23777,"Administration Officer",2,"Operational Delivery"
"207","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB6a",20323,23777,"Personal Secretary",1,"Operational Delivery"
"208","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB6a(Op)",23819,27912,"Forest Operative",2,"Operational Delivery"
"209","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB6b",18445,19880,"Administration Officer",1,"Communications"
"210","Department for Environment, Food and Rural Affairs","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB6b",18445,19880,"Administration Officer",3.81,"Operational Delivery"
"211","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB3",36643,42386,"IT Manager",6.62,"Information Technology"
"212","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB4",30381,34997,"Analyst/Programmer",3.94,"Information Technology"
"213","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB4",30381,34997,"IT Manager",4.75,"Information Technology"
"214","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB5",22883,27092,"Administration Manager",1,"Operational Delivery"
"215","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB5",22883,27092,"Analyst/Programmer",4.81,"Information Technology"
"216","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB5",22883,27092,"IT Manager",12.94,"Information Technology"
"217","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB6a",20323,23777,"Administration Officer",1,"Operational Delivery"
"218","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB6a",20323,23777,"Personal Secretary",1,"Operational Delivery"
"219","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB6a",20323,23777,"Technical Adviser",3,"Operational Delivery"
"220","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB6b",18445,19880,"Administration Manager",1,"Operational Delivery"
"221","Department for Environment, Food and Rural Affairs","Forestry Commission","Information Services","FCSSGGB06","PB6b",18445,19880,"Administration Officer",3,"Operational Delivery"
