"","Site","Meter","Unit","Date","Time","Value"
"69","Abercrombie House","Total Imported Energy AH","kWh",2011-02-13,"00:00",84
"70","Abercrombie House","Total Imported Energy AH","kWh",2011-02-14,"00:00",121.191
"71","Abercrombie House","Total Imported Energy AH","kWh",2011-02-15,"00:00",78
"72","Abercrombie House","Total Imported Energy AH","kWh",2011-02-16,"00:00",101.667
"73","Abercrombie House","Total Imported Energy AH","kWh",2011-02-17,"00:00",84
"74","Abercrombie House","Total Imported Energy AH","kWh",2011-02-18,"00:00",78
"75","Abercrombie House","Total Imported Energy AH","kWh",2011-02-19,"00:00",78
"76","Abercrombie House","Total Imported Energy AH","kWh",2011-02-20,"00:00",78
"77","Abercrombie House","Total Imported Energy AH","kWh",2011-02-21,"00:00",72
"78","Abercrombie House","Total Imported Energy AH","kWh",2011-02-22,"00:00",90
"79","Abercrombie House","Total Imported Energy AH","kWh",2011-02-23,"00:00",78
"80","Abercrombie House","Total Imported Energy AH","kWh",2011-02-24,"00:00",72
"81","Abercrombie House","Total Imported Energy AH","kWh",2011-02-25,"00:00",72
"82","Abercrombie House","Total Imported Energy AH","kWh",2011-02-26,"00:00",84
"83","Abercrombie House","Total Imported Energy AH","kWh",2011-02-27,"00:00",78
"84","Abercrombie House","Total Imported Energy AH","kWh",2011-02-28,"00:00",72
"85","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-01,"00:00",250.82
"86","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-02,"00:00",195.36
"87","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-03,"00:00",204.14
"88","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-04,"00:00",198.14
"89","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-05,"00:00",183.36
"90","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-06,"00:00",180.58
"91","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-07,"00:00",165.8
"92","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-08,"00:00",174.58
"93","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-09,"00:00",168.58
"94","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-10,"00:00",177.36
"95","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-11,"00:00",183.36
"96","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-12,"00:00",165.8
"97","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-13,"00:00",180.58
"98","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-14,"00:00",163.02
"99","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-15,"00:00",165.8
"100","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-16,"00:00",174.58
"101","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-17,"00:00",171.8
"102","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-18,"00:00",174.58
"103","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-19,"00:00",165.8
"104","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-20,"00:00",165.8
"105","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-21,"00:00",159.8
"106","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-22,"00:00",177.8
"107","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-23,"00:00",165.8
