"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"292","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","HEO",25000,40828,"Policy Adviser",6.8,"Policy"
"293","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","SEO",33200,49008,"Policy Adviser",4,"Policy"
"294","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","Grade 7",45300,57222,"Policy Adviser",2,"Policy"
"295","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"296","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","Grade 7",45300,57222,"Operational Researcher",2.1,"Operational Research"
"297","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","HEO",25000,40828,"Operational Researcher",3,"Operational Research"
"298","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","EO",21916,32232,"Operational Researcher",1,"Operational Research"
"299","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","SEO",33200,49008,"Operational Researcher",2.72,"Operational Research"
"300","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","EO",21916,32232,"Policy Adviser",2.56,"Policy"
"301","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","Grade 6",55431,69187,"Senior Analyst",1,"Operational Delivery"
"302","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","Grade 6",55431,69187,"Senior Policy Adviser",6.72,"Operational Delivery"
"303","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","SEO",33200,49008,"Programme Manager",1,"Operational Delivery"
"304","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","Grade 7",45300,57222,"Policy Adviser",6,"Policy"
"305","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","Grade 7",45300,57222,"Programme Manager",6,"Programme and Project Management (PPM)"
"306","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","Grade 7",45300,57222,"Senior Analyst",1,"Operational Delivery"
"307","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","EO",21916,32232,"PERSONAL ASSISTANT",1,"Operational Delivery"
"308","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","EO",21916,32232,"PERSONAL ASSISTANT",1,"Operational Delivery"
"309","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","Grade 6",55431,69187,"Programme Manager",1,"Programme and Project Management (PPM)"
"310","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","SEO",33200,49008,"Generalist",1,"Operational Delivery"
"311","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","SEO",33200,49008,"Analyst",3.88,"Operational Delivery"
"312","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","SEO",33200,49008,"Policy Support Officer",4.98,"Policy"
"313","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","HEO",25000,40828,"Generalist",5.33,"Operational Delivery"
"314","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","Grade 6",55431,69187,"Senior Policy Adviser",4,"Operational Delivery"
"315","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","Grade 6",55431,69187,"Senior Policy Adviser",4,"Operational Delivery"
"316","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"317","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","SEO",33200,49008,"Generalist",4.54,"Operational Delivery"
"318","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","Grade 7",45300,57222,"Senior Analyst",2.82,"Operational Delivery"
"319","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","EO",21916,32232,"Generalist",3,"Operational Delivery"
"320","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","SEO",33200,49008,"Policy Support Officer",3,"Operational Delivery"
"321","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","Grade 7",45300,57222,"Policy Adviser",4,"Operational Delivery"
"322","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","SEO",33200,49008,"Analyst",4.86,"Operational Delivery"
"323","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","Grade 7",45300,57222,"Senior Analyst",1.98,"Operational Delivery"
"324","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","Grade 6",55431,69187,"Senior Policy Adviser",7.81,"Operational Delivery"
"325","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","EA/AO",15266,24858,"Executive Assistant",1,"Policy"
"326","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","SEO",33200,49008,"Policy Support Officer",3,"Operational Delivery"
"327","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","EA/AO",15266,24858,"Generalist",3,"Operational Delivery"
"328","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","SEO",33200,49008,"Policy Support Officer",2.61,"Operational Delivery"
"329","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","HEO",25000,40828,"Generalist",2,"Operational Delivery"
"330","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","SEO",33200,49008,"Policy Support Officer",6,"Operational Delivery"
"331","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","Grade 7",45300,57222,"Policy Adviser",2.98,"Operational Delivery"
"332","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","HEO",25000,40828,"Policy Adviser",0.5,"Policy"
"333","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","HEO",25000,40828,"Generalist",1,"Operational Delivery"
"334","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","EA/AO",15266,24858,"Generalist",2,"Operational Delivery"
"335","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","HEO",25000,40828,"Generalist",1,"Policy"
"336","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","Grade 7",45300,57222,"Policy Adviser",5,"Operational Delivery"
"337","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","SEO",33200,49008,"Analyst",5.81,"Operational Delivery"
"338","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","Grade 7",45300,57222,"Policy Adviser",2.86,"Operational Delivery"
"339","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","EO",21916,32232,"PERSONAL ASSISTANT",1.22,"Operational Delivery"
"340","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","SEO",33200,49008,"Analyst",3,"Operational Delivery"
"341","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","EO",21916,32232,"PERSONAL ASSISTANT",1,"Operational Delivery"
"342","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","Grade 6",55431,69187,"Senior Analyst",2,"Operational Delivery"
"343","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","EA/AO",15266,24858,"Generalist",1,"Programme and Project Management (PPM)"
"344","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","SEO",33200,49008,"Policy Support Officer",3.96,"Operational Delivery"
"345","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","HEO",25000,40828,"Generalist",3,"Operational Delivery"
"346","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","SEO",33200,49008,"Policy Adviser",0.54,"Programme and Project Management (PPM)"
"347","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","Grade 7",45300,57222,"Senior Analyst",2.81,"Operational Delivery"
"348","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","Grade 6",55431,69187,"Senior Policy Adviser",2,"Operational Delivery"
"349","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","EO",21916,32232,"PERSONAL ASSISTANT",1,"Operational Delivery"
"350","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","SEO",33200,49008,"Business Manager",1,"Policy"
"351","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","Grade 7",45300,57222,"Senior Analyst",0.8,"Operational Delivery"
"352","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","EA/AO",15266,24858,"Generalist",1,"Operational Delivery"
"353","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1164","Grade 7",45300,57222,"Policy Adviser",2,"Policy"
"354","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","SEO",33200,49008,"Generalist",1,"Operational Delivery"
"355","Department for Education","Department for Education ","Education Funding Agency","DFE-1106","SEO",33200,49008,"Analyst",0.98,"Operational Delivery"
"356","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1159","Grade 6",55431,69187,"Senior Analyst",1,"Operational Delivery"
"357","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1163","EA/AO",15266,24858,"Generalist",2,"Operational Delivery"
"358","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1160","Grade 6",55431,69187,"Senior Analyst",1,"Operational Delivery"
"359","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1162","HEO",25000,40828,"Generalist",1,"Operational Delivery"
"360","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","EA/AO",15266,24858,"Procurement Support Officer ",0.8,"Procurement"
"361","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","SEO",33200,49008,"Finance Officer",2,"Finance"
"362","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","Grade 7",45300,57222,"Senior Procurement Officer",17,"Procurement"
"363","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","SEO",33200,49008,"Procurement Officer",1,"Procurement"
"364","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","EA/AO",15266,24858,"Generalist",3,"Procurement"
"365","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","SEO",33200,49008,"Procurement Officer",20.94,"Procurement"
"366","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 7",45300,57222,"Senior Analyst",4,"Other"
"367","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","HEO",25000,40828,"Finance Officer",2,"Finance"
"368","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","SEO",33200,49008,"Senior Finance  Manager",1,"Finance"
"369","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","HEO",25000,40828,"Communications Manager",1.64,"Communications"
"370","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","Grade 7",45300,57222,"Business Manager",1,"Procurement"
"371","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","EO",21916,32232,"Programme Support Officer",1.49,"Programme and Project Management (PPM)"
"372","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","SEO",33200,49008,"Senior Analyst",2,"Finance"
"373","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","EO",21916,32232,"Finance Support Officer",4,"Finance"
"374","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","EA/AO",15266,24858,"Finance Support Officer",4,"Finance"
"375","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","HEO",25000,40828,"Finance Officer",2,"Finance"
"376","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","SEO",33200,49008,"Senior Communications Manager",1.65,"Communications"
"377","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1049","Grade 7",45300,57222,"Senior Finance  Manager",5,"Finance"
"378","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","Grade 6",55431,69187,"Senior Finance  Manager",2,"Finance"
"379","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","EO",21916,32232,"PERSONAL ASSISTANT",1,"Other"
"380","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","Grade 6",55431,69187,"Senior Procurement Officer",4,"Procurement"
"381","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 7",45300,57222,"Finance Officer",1,"Finance"
"382","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","EO",21916,32232,"Analyst",1,"Other"
"383","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","Grade 7",45300,57222,"Senior Finance  Manager",6,"Finance"
"384","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","HEO",25000,40828,"Procurement Officer",3.5,"Procurement"
"385","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","HEO",25000,40828,"Analyst",5,"Other"
"386","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","HEO",25000,40828,"Finance Officer",5.86,"Finance"
"387","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","Grade 7",45300,57222,"Senior Procurement Officer",0.76,"Procurement"
"388","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","SEO",33200,49008,"Senior Project Manager",1,"Programme and Project Management (PPM)"
"389","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1042","EO",21916,32232,"PERSONAL ASSISTANT",1,"Other"
"390","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","Grade 6",55431,69187,"Programme Manager",1,"Programme and Project Management (PPM)"
"391","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","SEO",33200,49008,"Analyst",5.83,"Finance"
"392","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","Grade 7",45300,57222,"Analyst",1,"Finance"
"393","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1046","HEO",25000,40828,"Finance Support Officer",1,"Finance"
"394","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 7",45300,57222,"Programme Manager",1,"Policy"
"395","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","SEO",33200,49008,"Project Manager",1,"Programme and Project Management (PPM)"
"396","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1049","Grade 6",55431,69187,"Senior Finance  Manager",2,"Finance"
"397","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","Grade 6",55431,69187,"Senior Project Manager",1,"Programme and Project Management (PPM)"
"398","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 7",45300,57222,"Senior Finance  Manager",2,"Finance"
"399","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","SEO",33200,49008,"Senior Finance  Manager",1,"Finance"
"400","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","HEO",25000,40828,"Procurement Officer",1,"Procurement"
"401","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","SEO",33200,49008,"Finance Officer",0.76,"Finance"
"402","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","SEO",33200,49008,"Finance Officer",2,"Finance"
"403","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1049","EO",21916,32232,"Finance Support Officer",0.92,"Finance"
"404","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1009","HEO",25000,40828,"PERSONAL ASSISTANT",1,"Other"
"405","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","EO",21916,32232,"Generalist",1,"Procurement"
"406","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 6",55431,69187,"Senior Finance  Manager",1,"Finance"
"407","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","EO",21916,32232,"Generalist",2,"Other"
"408","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","EO",21916,32232,"Finance Officer",1,"Finance"
"409","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","EO",21916,32232,"PERSONAL ASSISTANT",1,"Other"
"410","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","HEO",25000,40828,"Generalist",1,"Other"
"411","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","HEO",25000,40828,"Programme Support Officer",0.7,"Programme and Project Management (PPM)"
"412","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 7",45300,57222,"Senior Procurement Officer",1,"Procurement"
"413","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","SEO",33200,49008,"Communications Manager",1,"Communications"
"414","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1047","HEO",25000,40828,"Project Manager",2,"Programme and Project Management (PPM)"
"415","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","EO",21916,32232,"Procurement Officer",1,"Procurement"
"416","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","EO",21916,32232,"HR Support Officer",1,"Human Resources"
"417","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","SEO",33200,49008,"Senior Project Manager",2,"Programme and Project Management (PPM)"
"418","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1043","Grade 6",55431,69187,"Senior Procurement Officer",1,"Procurement"
"419","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","SEO",33200,49008,"Internal Auditor",3,"Internal Audit"
"420","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","SEO",33200,49008,"Senior Internal Auditor",8.44,"Internal Audit"
"421","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","EO",21916,32232,"Internal Auditor",3.55,"Internal Audit"
"422","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","HEO",25000,40828,"Internal Auditor",6,"Internal Audit"
"423","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","Grade 7",45300,57222,"Internal Auditor",6,"Internal Audit"
"424","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","Grade 6",55431,69187,"Senior Internal Auditor",1,"Internal Audit"
"425","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1050","EO",21916,32232,"PERSONAL ASSISTANT",1,"Other"
"426","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","SEO",33200,49008,"Policy Adviser",3,"Policy"
"427","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","Grade 7",45300,57222,"Senior Finance  Manager",1,"Finance"
"428","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","HEO",25000,40828,"Finance Officer",2,"Finance"
"429","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","SEO",33200,49008,"Not In Post",1,"Other"
"430","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","HEO",25000,40828,"Policy Adviser",3.78,"Policy"
"431","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","EO",21916,32232,"Policy Adviser",1,"Policy"
"432","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"433","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","SEO",33200,49008,"Policy Adviser",1,"Policy"
"434","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"435","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","Grade 7",45300,57222,"Finance Officer",1,"Finance"
"436","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"437","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","HEO",25000,40828,"Policy Adviser",3,"Policy"
"438","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","EA/AO",15266,24858,"Policy Support Officer",0.41,"Policy"
"439","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","EO",21916,32232,"Finance Officer",2,"Finance"
"440","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"441","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","EO",21916,32232,"Operations Support Officer",1,"Policy"
"442","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","EO",21916,32232,"Not In Post",1,"Other"
"443","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","HEO",25000,40828,"Project Support Officer",1,"Operational Delivery"
"444","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","SEO",33200,49008,"Finance Officer",2,"Finance"
"445","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","EA/AO",15266,24858,"Policy Adviser",1,"Policy"
"446","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","Grade 6",55431,69187,"Senior Finance  Manager",1,"Finance"
"447","Department for Education","Department for Education ","Children, Young People and Families Directorate","DFE-1025","EO",21916,32232,"Diary Manager",1,"Policy"
"448","Department for Education","Department for Education ","Families Group ","DFE-1037","EO",21916,32232,"Policy Adviser",3,"Policy"
"449","Department for Education","Department for Education ","Families Group ","DFE-1037","SEO",33200,49008,"Policy Adviser",6,"Policy"
"450","Department for Education","Department for Education ","Families Group ","DFE-1037","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"451","Department for Education","Department for Education ","Families Group ","DFE-1036","SEO",33200,49008,"Policy Adviser",3,"Policy"
"452","Department for Education","Department for Education ","Families Group ","DFE-1036","HEO",25000,40828,"Correspondence Manager",1,"Policy"
"453","Department for Education","Department for Education ","Families Group ","DFE-1036","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"454","Department for Education","Department for Education ","Families Group ","DFE-1008","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"455","Department for Education","Department for Education ","Families Group ","DFE-1037","Grade 7",45300,57222,"Generalist",2,"Other"
"456","Department for Education","Department for Education ","Families Group ","DFE-1036","HEO",25000,40828,"Policy Adviser",0.78,"Policy"
"457","Department for Education","Department for Education ","Families Group ","DFE-1037","Grade 6",55431,69187,"Senior Policy Adviser",1.83,"Policy"
"458","Department for Education","Department for Education ","Families Group ","DFE-1036","EO",21916,32232,"Policy Adviser",3.18,"Policy"
"459","Department for Education","Department for Education ","Families Group ","DFE-1036","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"460","Department for Education","Department for Education ","Families Group ","DFE-1037","SEO",33200,49008,"Generalist",2,"Other"
"461","Department for Education","Department for Education ","Families Group ","DFE-1037","EO",21916,32232,"Policy Support Officer",1,"Policy"
"462","Department for Education","Department for Education ","Families Group ","DFE-1037","HEO",25000,40828,"Policy Adviser",1,"Policy"
"463","Department for Education","Department for Education ","Families Group ","DFE-1037","EO",21916,32232,"Generalist",1,"Other"
"464","Department for Education","Department for Education ","Families Group ","DFE-1040","EO",21916,32232,"Policy Adviser",2,"Policy"
"465","Department for Education","Department for Education ","Families Group ","DFE-1040","SEO",33200,49008,"Policy Adviser",7,"Policy"
"466","Department for Education","Department for Education ","Families Group ","DFE-1008","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"467","Department for Education","Department for Education ","Families Group ","DFE-1040","Grade 7",45300,57222,"Generalist",1,"Other"
"468","Department for Education","Department for Education ","Families Group ","DFE-1040","SEO",33200,49008,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"469","Department for Education","Department for Education ","Families Group ","DFE-1040","SEO",33200,49008,"Finance Officer",1,"Finance"
"470","Department for Education","Department for Education ","Families Group ","DFE-1040","SEO",33200,49008,"Generalist",3,"Other"
"471","Department for Education","Department for Education ","Families Group ","DFE-1040","EA/AO",15266,24858,"PERSONAL ASSISTANT",1,"Policy"
"472","Department for Education","Department for Education ","Families Group ","DFE-1040","Grade 7",45300,57222,"Senior Policy Adviser",3,"Policy"
"473","Department for Education","Department for Education ","Families Group ","DFE-1040","HEO",25000,40828,"Finance Officer",1,"Finance"
"474","Department for Education","Department for Education ","Families Group ","DFE-1040","EO",21916,32232,"Generalist",1,"Other"
"475","Department for Education","Department for Education ","Families Group ","DFE-1040","HEO",25000,40828,"Communications Manager",1,"Communications"
"476","Department for Education","Department for Education ","Families Group ","DFE-1040","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"477","Department for Education","Department for Education ","Families Group ","DFE-1040","HEO",25000,40828,"Policy Adviser",4.8,"Policy"
"478","Department for Education","Department for Education ","Families Group ","DFE-1041","Grade 7",45300,57222,"Senior Policy Adviser",5,"Policy"
"479","Department for Education","Department for Education ","Families Group ","DFE-1041","HEO",25000,40828,"Policy Adviser",3,"Policy"
"480","Department for Education","Department for Education ","Families Group ","DFE-1041","EO",21916,32232,"Generalist",1,"Other"
"481","Department for Education","Department for Education ","Families Group ","DFE-1041","SEO",33200,49008,"Policy Adviser",2,"Policy"
"482","Department for Education","Department for Education ","Families Group ","DFE-1041","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"483","Department for Education","Department for Education ","Families Group ","DFE-1041","EO",21916,32232,"Policy Adviser",1,"Policy"
"484","Department for Education","Department for Education ","Families Group ","DFE-1041","Grade 7",45300,57222,"Generalist",1,"Other"
"485","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","Grade 7",45300,57222,"Senior Policy Adviser",7,"Policy"
"486","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","HEO",25000,40828,"Policy Adviser",7,"Policy"
"487","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"488","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","SEO",33200,49008,"Policy Adviser",9.67,"Policy"
"489","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","EO",21916,32232,"Policy Adviser",5.81,"Policy"
"490","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","HEO",25000,40828,"Finance Officer",1,"Finance"
"491","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","EO",21916,32232,"Finance Officer",1,"Finance"
"492","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","EO",21916,32232,"Policy Support Officer",2,"Policy"
"493","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","Grade 7",45300,57222,"Finance Officer",1,"Finance"
"494","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","SEO",33200,49008,"Programme Officer Manager",1,"Programme and Project Management (PPM)"
"495","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","SEO",33200,49008,"Finance Officer",1,"Finance"
"496","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","Grade 7",45300,57222,"Review Team Leader",1,"Policy"
"497","Department for Education","Department for Education ","Safeguarding Group ","DFE-1059","SEO",33200,49008,"Review Support Officer",1,"Policy"
"498","Department for Education","Department for Education ","Safeguarding Group ","DFE-1060","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"499","Department for Education","Department for Education ","Safeguarding Group ","DFE-1060","HEO",25000,40828,"Policy Adviser",4,"Policy"
"500","Department for Education","Department for Education ","Safeguarding Group ","DFE-1060","SEO",33200,49008,"Policy Adviser",8,"Policy"
"501","Department for Education","Department for Education ","Safeguarding Group ","DFE-1060","Grade 7",45300,57222,"Senior Policy Adviser",6,"Policy"
"502","Department for Education","Department for Education ","Safeguarding Group ","DFE-1060","EO",21916,32232,"Policy Adviser",1,"Policy"
"503","Department for Education","Department for Education ","Safeguarding Group ","DFE-1060","EO",21916,32232,"Policy Support Officer",1,"Policy"
"504","Department for Education","Department for Education ","Safeguarding Group ","DFE-1061","Grade 7",45300,57222,"Senior Policy Adviser",2.89,"Policy"
"505","Department for Education","Department for Education ","Safeguarding Group ","DFE-1061","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"506","Department for Education","Department for Education ","Safeguarding Group ","DFE-1061","SEO",33200,49008,"Policy Adviser",4.38,"Policy"
"507","Department for Education","Department for Education ","Safeguarding Group ","DFE-1061","HEO",25000,40828,"Policy Adviser",12,"Policy"
"508","Department for Education","Department for Education ","Safeguarding Group ","DFE-1061","EO",21916,32232,"Policy Adviser",4,"Policy"
"509","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1016","SEO",33200,49008,"Policy Adviser",3,"Planning"
